"Famille","Sex","W_stat","P_Value","Effectif","Normalite","P_Value_Label"
"5000 - 10000","men",0.883418453850841,2.00521035073038e-05,64,"NON","< 0.001"
"5000 - 10000","women",0.942693912909797,0.00507915794635763,64,"NON","0.005"
"800 - 1500 - steeple","men",0.969255134449338,0.0234843832326529,96,"NON","0.023"
"800 - 1500 - steeple","women",0.984697321328683,0.329136672833413,96,"OUI","0.329"
"Epreuves combinées","men",0.963178058158595,0.334736424029463,32,"OUI","0.335"
"Epreuves combinées","women",0.983202867299092,0.885422915894073,32,"OUI","0.885"
"Haies","men",0.955877186409021,0.0224928112415442,64,"NON","0.022"
"Haies","women",0.975429488134136,0.23019354823692,64,"OUI","0.23"
"Lancers","men",0.914502666742297,5.84735860485547e-07,128,"NON","< 0.001"
"Lancers","women",0.97512037279575,0.0185101320708302,128,"NON","0.019"
"Marathon","men",0.943770067922639,0.0958185397265386,32,"OUI","0.096"
"Marathon","women",0.927462072072351,0.0332956173683072,32,"NON","0.033"
"Marche","men",0.936989240630854,0.0615227524746328,32,"OUI","0.062"
"Marche","women",0.941599085286568,0.083118812514784,32,"OUI","0.083"
"Sauts","men",0.964701209156183,0.00203978229141788,128,"NON","0.002"
"Sauts","women",0.97924585641288,0.0466791277239859,128,"NON","0.047"
"Sprint","men",0.891916996213406,9.2467890334614e-07,96,"NON","< 0.001"
"Sprint","women",0.971137134319703,0.0323904520307891,96,"NON","0.032"
